Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,6,24,29.5,5.5,0,17.5,0,9773.274304811972
1980,6,25,31.5,6,0,18.75,0,9035.263850484604
1980,6,26,32,8.5,0,20.25,0,10288.893437853554
1980,6,27,32.5,12.5,0,22.5,0,11653.737661051748
1980,6,28,33.5,12,0,22.75,0,11478.351535347185
1980,6,29,32.5,13,0,22.75,0,12361.301653450815
1980,6,30,31.5,13,6,22.25,0.6,12742.314609635836
1980,7,1,25.5,11,15,18.25,1.5,18645.348459056124
1980,7,2,25.5,9.5,0,17.5,0,13438.252169116462
1980,7,3,28,7.5,0,17.75,0,10822.959209550561
1980,7,4,30,6.5,0,18.25,0,10488.008508219069
1980,7,5,31.5,6,0,18.75,0,9035.263850484604
1980,7,6,30.5,9.5,0,20,0,11494.116824307508
1980,7,7,28,12,0,20,0,13583.956246908872
1980,7,8,29.5,8.5,0,19,0,11119.132769814252
1980,7,9,30.5,8.5,0,19.5,0,10778.30938321918
1980,7,10,28,11.5,0,19.75,0,12734.780991681502
1980,7,11,32,10,0,21,0,10806.786682636239
1980,7,12,27.5,12,1,19.75,0.1,13796.012740988295
1980,7,13,26,11,8,18.5,0.8,18355.407225402825
1980,7,14,28.5,7.5,0,18,0,10654.003657536958
1980,7,15,31,7.5,0,19.25,0,9852.505878899761
1980,7,16,32.5,9.5,0,21,0,10806.786682636239
1980,7,17,33.5,12,0,22.75,0,11478.351535347185
1980,7,18,32,12,0,22,0,12013.644230482234
1980,7,19,31,14.5,0,22.75,0,13244.251771554445
1980,7,20,30.5,12,7,21.25,0.7,15479.662451879838
1980,7,21,32,11.5,0,21.75,0,11259.952207263317
1980,7,22,30,10.5,0,20.25,0,12346.672125424264
1980,7,23,29.5,10.5,0,20,0,12539.03653560819
1980,7,24,29,11,0,20,0,12539.03653560819
1980,7,25,31.5,10.5,0,21,0,11789.22183560317
1980,7,26,30.5,13,6,21.75,0.6,16889.928310894975
1980,7,27,30,11,0,20.5,0,12157.623362304976
1980,7,28,29,11,0,20,0,12539.03653560819
1980,7,29,29,11,16,20,1.6,16718.71538081092
1980,7,30,29,11,0,20,0,14628.875958209557
1980,7,31,30.5,13.5,0,22,0,15710.15014755369
1980,8,1,30,13,0,21.5,0,15244.457287086889
1980,8,2,28,13.5,6,20.75,0.6,25938.95889897442
1980,8,3,29,13.5,0,21.25,0,19349.5780648498
1980,8,4,29,12,0,20.5,0,17223.299763265382
1980,8,5,29,11,0,20,0,15673.795669510238
1980,8,6,30,10.5,0,20.25,0,14404.450812994975
1980,8,7,31.5,11,0,21.25,0,12577.225742152368
1980,8,8,32.5,12,0,22.25,0,12742.314609635836
1980,8,9,32,12,0,22,0,12937.770709750097
